"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"245ed20c66deb7effbe0a629c3c76bfb","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","true","2","9.5","4.95","1.45","1.344","10","7","2022","17","45","5","900"
"ed7ed2b102b10fe7317bba28a4d7adc6","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","false","188","43.261","13.956","1.844","8.903","10","7","2022","17","45","5","900"
"f0a42cf641a452d8dc00b6b65516b967","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","true","3","44.667","13.429","0.133","0.153","10","7","2022","17","45","5","900"
"4b40df1e1d2db68d79d5f436626aad63","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","U-TURN","false","2","6.5","3.536","1.5","1.98","10","7","2022","17","45","5","900"
"42420d8df3679a7d01f33e0deb10c30a","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","false","25","17.44","8.898","33.832","59.231","10","7","2022","17","45","5","900"
"0278f9bd01e1405b1047710dd0214403","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","true","2","13.5","2.121","1.8","2.546","10","7","2022","17","45","5","900"
"ad8317ebb720a3cbd045fa9d886febb9","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","false","14","5.143","10.272","9.971","18.909","10","7","2022","17","45","5","900"
"0fb97016c1fa1465b985ff7eab93af34","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","THRU","false","8","8.875","12.484","43.037","47.044","10","7","2022","17","45","5","900"
"89d0db7ca1ab9ab1e58b2d9177941cbd","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","LEFT TURN","false","13","14.231","4.567","34.315","49.147","10","7","2022","17","45","5","900"
"b327abab0952cec659ae05c75e66eb08","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","false","11","11.364","4.456","10.618","15.317","10","7","2022","17","45","5","900"
"f290326195178ac3efd5c90fa2e165df","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","THRU","false","16","15.625","5.608","26.369","32.263","10","7","2022","17","45","5","900"
"8a86e9626309b869a55a387966510eb4","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","THRU","true","3","17.0","7.0","23.167","27.813","10","7","2022","17","45","5","900"
"423891d96b7f3c6789eccb342e0e680c","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","LEFT TURN","false","20","12.35","3.329","12.24","31.683","10","7","2022","17","45","5","900"
"39f173002870404e6fa87174fac674cb","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","LEFT TURN","true","2","11.5","0.707","6.05","0.495","10","7","2022","17","45","5","900"
"b7a279807643c8f2224da3e59e37b487","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","RIGHT TURN","false","14","13.571","2.681","2.557","1.178","10","7","2022","17","45","5","900"
"1b31877cee0fad099f0125bb491219d9","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","RIGHT TURN","true","1","6.0","0.0","2.1","0.0","10","7","2022","17","45","5","900"
"03aeece238f474d68bc07b2d2a0a1be9","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","false","243","42.206","14.074","2.418","7.769","10","7","2022","17","45","5","900"
"7c801c4cc85f2570d69b8be0bfe0a7f8","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","true","26","45.577","11.576","0.623","0.549","10","7","2022","17","45","5","900"
